Stock,Bottom Date,Entry Date,Entry Price,Exit Date,Exit Price,Status,Return %,Chart,Entry Date Sort
ITCHOTELS.NS,2026-01-20,2026-01-21,180.19,2026-01-22,189.2,WIN,5.0,https://www.tradingview.com/chart/?symbol=NSE:ITCHOTELS,2026-01-21
INDUSINDBK.NS,2025-09-29,2025-09-30,730.0,2025-10-10,766.5,WIN,5.0,https://www.tradingview.com/chart/?symbol=NSE:INDUSINDBK,2025-09-30
KEI.NS,2025-01-22,2025-01-23,4117.1,2025-01-24,4322.96,WIN,5.0,https://www.tradingview.com/chart/?symbol=NSE:KEI,2025-01-23
LINDEINDIA.NS,2025-01-28,2025-01-29,5677.0,2025-02-11,5960.85,WIN,5.0,https://www.tradingview.com/chart/?symbol=NSE:LINDEINDIA,2025-01-29
LINDEINDIA.NS,2025-06-20,2025-06-23,6519.0,2025-06-24,6844.95,WIN,5.0,https://www.tradingview.com/chart/?symbol=NSE:LINDEINDIA,2025-06-23
LUPIN.NS,2025-06-27,2025-06-30,1938.5,2025-09-12,2035.43,WIN,5.0,https://www.tradingview.com/chart/?symbol=NSE:LUPIN,2025-06-30
MANKIND.NS,2025-02-28,2025-03-03,2259.4,2025-03-21,2372.37,WIN,5.0,https://www.tradingview.com/chart/?symbol=NSE:MANKIND,2025-03-03
MPHASIS.NS,2025-11-18,2025-11-19,2674.5,2025-11-24,2808.22,WIN,5.0,https://www.tradingview.com/chart/?symbol=NSE:MPHASIS,2025-11-19
PAGEIND.NS,2025-01-16,2025-01-17,45950.0,2025-02-05,48247.5,WIN,5.0,https://www.tradingview.com/chart/?symbol=NSE:PAGEIND,2025-01-17
RVNL.NS,2025-02-19,2025-02-20,371.4,2025-02-21,389.97,WIN,5.0,https://www.tradingview.com/chart/?symbol=NSE:RVNL,2025-02-20
SBICARD.NS,2025-12-30,2025-12-31,843.4,2026-01-06,885.57,WIN,5.0,https://www.tradingview.com/chart/?symbol=NSE:SBICARD,2025-12-31
PGHH.NS,2025-01-15,2025-01-16,14550.0,2026-01-30,11640.0,LOSS,-20.0,https://www.tradingview.com/chart/?symbol=NSE:PGHH,2025-01-16
SCHAEFFLER.NS,2024-07-24,2024-07-25,4130.0,2024-12-20,3304.0,LOSS,-20.0,https://www.tradingview.com/chart/?symbol=NSE:SCHAEFFLER,2024-07-25
SCHAEFFLER.NS,2025-09-08,2025-09-09,3850.0,2025-09-16,4042.5,WIN,5.0,https://www.tradingview.com/chart/?symbol=NSE:SCHAEFFLER,2025-09-09
SCHAEFFLER.NS,2026-01-07,2026-01-08,3818.0,2026-02-09,4008.9,WIN,5.0,https://www.tradingview.com/chart/?symbol=NSE:SCHAEFFLER,2026-01-08
SUNDARMFIN.NS,2024-12-06,2024-12-09,4204.7,2024-12-10,4414.94,WIN,5.0,https://www.tradingview.com/chart/?symbol=NSE:SUNDARMFIN,2024-12-09
SUPREMEIND.NS,2026-01-21,2026-01-22,3341.9,2026-01-23,3508.99,WIN,5.0,https://www.tradingview.com/chart/?symbol=NSE:SUPREMEIND,2026-01-22
SWIGGY.NS,2025-05-13,2025-05-14,313.2,2025-05-29,328.86,WIN,5.0,https://www.tradingview.com/chart/?symbol=NSE:SWIGGY,2025-05-14
TATAELXSI.NS,2025-07-11,2025-07-14,6026.0,2025-07-15,6327.3,WIN,5.0,https://www.tradingview.com/chart/?symbol=NSE:TATAELXSI,2025-07-14
THERMAX.NS,2024-11-25,2024-11-26,4453.15,2024-11-28,4675.81,WIN,5.0,https://www.tradingview.com/chart/?symbol=NSE:THERMAX,2024-11-26
TIINDIA.NS,2025-03-03,2025-03-04,2600.0,2025-03-10,2730.0,WIN,5.0,https://www.tradingview.com/chart/?symbol=NSE:TIINDIA,2025-03-04
TORNTPOWER.NS,2024-12-02,2024-12-03,1604.4,2024-12-04,1684.62,WIN,5.0,https://www.tradingview.com/chart/?symbol=NSE:TORNTPOWER,2024-12-03
TORNTPOWER.NS,2025-10-06,2025-10-07,1202.0,2025-10-13,1262.1,WIN,5.0,https://www.tradingview.com/chart/?symbol=NSE:TORNTPOWER,2025-10-07
UBL.NS,2025-06-25,2025-06-26,1941.0,2025-07-22,2038.05,WIN,5.0,https://www.tradingview.com/chart/?symbol=NSE:UBL,2025-06-26
